medium,priority,impressum_url
Frankfurter Allgemeine Zeitung (FAZ),PRIO 1,https://faz.net/impressum
Frankfurter Allgemeine Sonntagszeitung (F.A.S.),PRIO 1,https://faz.net/impressum
Handelsblatt,PRIO 1,https://handelsblatt.com/impressum
Börsen-Zeitung,PRIO 1,https://boersen-zeitung.de/impressum
WirtschaftsWoche (WiWo),PRIO 1,https://wiwo.de/impressum
Manager Magazin,PRIO 1,https://manager-magazin.de/impressum
Capital,PRIO 1,https://capital.de/impressum
Neue Zürcher Zeitung (NZZ),PRIO 1,https://nzz.ch/impressum
Finanz und Wirtschaft (FuW),PRIO 1,https://fuw.ch/impressum
Der Standard,PRIO 1,https://derstandard.at/impressum
Die Presse,PRIO 1,https://diepresse.com/impressum
DIE WELT / WELT am Sonntag,PRIO 1,https://welt.de/impressum
Süddeutsche Zeitung (SZ),PRIO 1,https://sueddeutsche.de/impressum
Der Spiegel,PRIO 1,https://spiegel.de/impressum
Die Zeit,PRIO 1,https://zeit.de/impressum
Focus / Focus Money,PRIO 1,https://focus.de/impressum
Stern,PRIO 1,https://stern.de/impressum
Tagesspiegel,PRIO 1,https://tagesspiegel.de/impressum
Stuttgarter Zeitung / StN,PRIO 1,https://stuttgarter-zeitung.de/impressum
Rheinische Post,PRIO 1,https://rp-online.de/impressum
Münchner Merkur / tz,PRIO 1,https://merkur.de/impressum
Frankfurter Rundschau,PRIO 1,https://fr.de/impressum
Berliner Zeitung,PRIO 1,https://berliner-zeitung.de/impressum
Tages-Anzeiger,PRIO 1,https://tagesanzeiger.ch/impressum
SonntagsZeitung,PRIO 1,https://sonntagszeitung.ch/impressum
Basler Zeitung,PRIO 1,https://bazonline.ch/impressum
Berner Zeitung / Der Bund,PRIO 1,https://bernerzeitung.ch/impressum
Luzerner Zeitung / CH Media,PRIO 1,https://luzernerzeitung.ch/impressum
Salzburger Nachrichten,PRIO 1,https://sn.at/impressum
Kurier,PRIO 1,https://kurier.at/impressum
Kronen Zeitung,PRIO 1,https://krone.at/impressum
Profil,PRIO 1,https://profil.at/impressum
ARD Börse / tagesschau.de Wirtschaft,PRIO 1,https://tagesschau.de/impressum
ZDF heute / Frontal / WISO,PRIO 1,https://zdf.de/impressum
n-tv,PRIO 1,https://www.n-tv.de/ntvintern/Impressum-id6405904.html
WELT TV (N24),PRIO 1,https://welt.de/impressum
SRF Eco / SRF Wirtschaft,PRIO 1,https://srf.ch/impressum
ORF Wirtschaft / Eco,PRIO 1,https://orf.at/impressum
t-online Finanzen,PRIO 1,https://t-online.de/impressum
DAS INVESTMENT,PRIO 1,https://dasinvestment.com/impressum
Citywire Deutschland,PRIO 1,https://citywire.com/de/impressum
FundResearch,PRIO 1,https://www.fundresearch.de/fundresearch/unternehmen/impressum.php
e-fundresearch.com,PRIO 1,https://e-fundresearch.com/impressum
FONDS professionell,PRIO 1,https://www.fondsprofessionell.de/consent/impressum
Institutional Money,PRIO 1,https://institutional-money.com/kontakt
portfolio institutionell,PRIO 1,https://portfolio-institutionell.de/impressum
